감정은 습관이다,0,1,0,10,13180,2013.12.24,2014.01.03,A100475
우아한 거짓말,0,2,0,8,43810,2014.01.09,2014.01.17,A100483
외딴방,0,2,1,24,4810,2014.01.17,2014.02.10,A100158
우아한 거짓말,0,2,1,24,43810,2014.01.17,2014.02.10,A100158
바이올렛,0,2,1,23,3810,2014.02.10,2014.03.05,A100158
한국십진분류법 제5판. 2: 상관색인,0,1,0,0,94020,2014.03.03,2014.03.03,A100475
위저드 베이커리,0,1,0,0,43810,2014.03.03,2014.03.03,A100475
(한 권으로 읽는)장자의 지혜,0,1,0,0,3820,2014.03.05,2014.03.05,A100475
리락쿠마 종이접기,1,1,1,15,13630,2014.03.18,2014.04.02,A100161
(재미있는) 수학퍼즐. 1,1,1,1,15,93410,2014.03.18,2014.04.02,A100161
(DELE 기출 문제를 이용한)숙어와 동사적 표현 모음집,0,1,1,16,93770,2014.03.19,2014.04.04,A100475
"공자와 손자, 역사를 만들고 시대에 답하다",1,2,1,47,3150,2014.03.21,2014.05.07,A100321
"엄마, 일단 가고봅시다!",0,1,1,28,4810,2014.03.24,2014.04.21,A100475
여행의 기술,1,1,0,8,3840,2014.03.25,2014.04.02,A100161
"왜 사느냐면, 제주도에",1,1,0,8,13980,2014.03.25,2014.04.02,A100161
연을 쫓는 아이,0,2,0,7,3840,2014.05.13,2014.05.20,A100158
왜 책을 읽는가,1,1,0,7,13100,2014.05.13,2014.05.20,A100357
북경예술견문록,0,2,1,224,3600,2014.05.13,2014.12.23,A100483
뭘 해도 괜찮아,0,1,0,0,44370,2014.05.19,2014.05.19,A100475
더 스크랩,0,1,1,47,3830,2014.05.22,2014.07.08,A100521
제3인류. 1,0,1,1,36,4860,2014.05.26,2014.07.01,A100521
연을 쫓는 아이,1,1,0,11,3840,2014.05.29,2014.06.09,A100357
자전거 도둑,1,3,0,14,74810,2014.05.29,2014.06.12,A100374
제7의 감각,0,2,0,0,3320,2014.06.03,2014.06.03,A100494
미칠 수 있겠니,1,3,1,21,3810,2014.06.12,2014.07.03,A100374
꽃피는 고래,1,3,1,21,3810,2014.06.12,2014.07.03,A100374
공사장의 피아니스트,0,2,0,3,3810,2014.06.13,2014.06.16,A100494
가미가제 독고다이,1,3,0,7,3810,2014.07.03,2014.07.10,A100374
왕자 이우,0,1,1,57,3810,2014.07.08,2014.09.03,A100521
구해줘,0,3,0,8,3860,2014.07.09,2014.07.17,A100085
옛 그림을 따라 걷는 서울길,0,2,0,11,93900,2014.07.10,2014.07.21,A100494
아프리카의 눈물. 1: 1부·2부,1,3,0,4,3810,2014.07.14,2014.07.18,A100006
바이올렛,1,3,0,7,3810,2014.07.31,2014.08.07,A100374
모르는 여인들,1,3,0,7,3810,2014.07.31,2014.08.07,A100374
미국의 아들. 2,1,3,0,7,3840,2014.07.31,2014.08.07,A100374
도미노 구라파식 이층집,1,3,0,7,44810,2014.08.21,2014.08.28,A100374
"웰컴, 마이 퓨처",1,3,0,7,44810,2014.08.21,2014.08.28,A100374
까마귀. 1: 조국의 딸,1,3,0,14,4810,2014.08.21,2014.09.04,A100374
한자능력검정시험 3급,1,2,1,35,13710,2014.08.21,2014.09.25,A100384
까마귀. 3: 흙과 무지개,1,3,0,7,4810,2014.08.28,2014.09.04,A100374
내가 알고 있는 걸 당신도 알게 된다면,0,2,1,98,3320,2014.09.02,2014.12.09,A100230
서울 Seoul 여행사전,1,2,0,12,13980,2014.09.03,2014.09.15,A100139
A,1,3,0,7,3810,2014.09.04,2014.09.11,A100374
낯익은 타인들의 도시,1,3,0,7,3810,2014.09.04,2014.09.11,A100374
(한권으로 읽는) 조선왕조실록,0,2,1,27,4900,2014.09.05,2014.10.02,A100494
빨간 장화,1,3,0,7,3830,2014.09.11,2014.09.18,A100374
그녀에 대하여,1,3,0,7,3830,2014.09.11,2014.09.18,A100374
강남몽,1,3,0,7,3810,2014.09.11,2014.09.18,A100374
안녕 시모키타자와,1,3,0,7,3830,2014.09.11,2014.09.18,A100374
강남몽,1,3,0,0,3810,2014.09.11,2014.09.11,A100374
(趙廷來 大河小設)太白山脈 . 2 제1부 : 恨의 모닥불,0,3,0,6,4810,2014.09.12,2014.09.18,A100127
가장 오래된 교양,1,3,0,0,3900,2014.09.15,2014.09.15,A100017
정글만리. 2,1,3,0,14,4810,2014.09.18,2014.10.02,A100374
정글만리. 1,1,3,0,14,4810,2014.09.18,2014.10.02,A100374
개 같은 날은 없다,1,3,0,14,44810,2014.09.18,2014.10.02,A100374
별이 차가운 밤이면,1,3,0,14,3810,2014.09.18,2014.10.02,A100374
(세계 1등을 키워낸)그 어머니들의 자녀교육 심리,1,3,0,8,13370,2014.10.02,2014.10.10,A100410
동물농장. 5,1,3,0,8,4840,2014.10.02,2014.10.10,A100410
사소한 것에 목숨 걸지 마라,0,2,1,56,3840,2014.10.10,2014.12.05,A100212
나의 삼촌 브루스 리. 1,1,3,0,7,4810,2014.10.16,2014.10.23,A100374
나의 삼촌 브루스 리. 2,1,3,0,7,4810,2014.10.16,2014.10.23,A100374
프린세스 바리,1,3,0,7,3810,2014.10.23,2014.10.30,A100374
에메랄드궁,1,3,0,7,3810,2014.10.23,2014.10.30,A100374
탐정은 죽지 않는다,1,3,0,7,3810,2014.10.30,2014.11.06,A100374
통영의 딸,1,3,0,7,3810,2014.10.30,2014.11.06,A100374
나흘,1,3,0,7,3810,2014.10.30,2014.11.06,A100374
생명연습,0,2,0,1,4810,2014.11.04,2014.11.05,A100494
(가토 슈이치의) 독서만능,0,2,0,3,3800,2014.11.07,2014.11.10,A100494
너는 모른다,0,2,1,41,3810,2014.11.12,2014.12.23,A100494
성균관 유생들의 나날. 1,0,2,1,41,4810,2014.11.12,2014.12.23,A100494
변경. 8,1,3,0,7,4810,2014.11.27,2014.12.04,A100374
변경. 9,1,3,0,7,4810,2014.11.27,2014.12.04,A100374
